customer_id,first_name,last_name,email,phone,city,state,registration_date,loyalty_tier
1,Jennifer,Flores,jennifer.flores1@email.com,834-899-4945,Fort Worth,Texas,2020-07-31,Gold
2,Elizabeth,Anderson,elizabeth.anderson2@email.com,853-460-8529,Charlotte,North Carolina,2017-11-11,Gold
3,James,Robinson,james.robinson3@email.com,893-759-3588,San Jose,California,2015-10-30,Silver
4,Daniel,Nguyen,daniel.nguyen4@email.com,854-634-5097,San Jose,California,2020-02-15,Bronze
5,Richard,Harris,richard.harris5@email.com,309-442-7248,San Francisco,California,2021-05-31,Silver
6,Andrew,Jackson,andrew.jackson6@email.com,222-874-7484,San Jose,California,2018-01-29,Bronze
7,Andrew,Brown,andrew.brown7@email.com,963-708-5689,Boston,Massachusetts,2023-09-13,Bronze
8,Joshua,Thompson,joshua.thompson8@email.com,851-394-5106,San Diego,California,2022-08-08,Platinum
9,George,Rodriguez,george.rodriguez9@email.com,842-861-1645,Houston,Texas,2018-06-19,Silver
10,John,Nguyen,john.nguyen10@email.com,949-334-2476,Jacksonville,Florida,2025-03-14,Bronze
11,Christopher,Clark,christopher.clark11@email.com,405-335-9837,Philadelphia,Pennsylvania,2024-10-29,Silver
12,Kimberly,Allen,kimberly.allen12@email.com,368-463-8894,Dallas,Texas,2025-11-06,Bronze
13,Melissa,Perez,melissa.perez13@email.com,679-277-3306,Houston,Texas,2023-06-17,Bronze
14,Carol,Sanchez,carol.sanchez14@email.com,574-292-7464,Seattle,Washington,2015-02-27,Bronze
15,Paul,Davis,paul.davis15@email.com,577-888-5295,Charlotte,North Carolina,2021-07-22,Silver
16,Kenneth,White,kenneth.white16@email.com,891-439-8724,Houston,Texas,2015-04-13,Gold
17,Emily,Lee,emily.lee17@email.com,426-863-2035,Boston,Massachusetts,2022-02-15,Silver
18,Brian,Martin,brian.martin18@email.com,319-343-1742,Columbus,Ohio,2025-08-11,Bronze
19,Karen,Young,karen.young19@email.com,299-440-9807,Houston,Texas,2016-07-09,Silver
20,Sandra,White,sandra.white20@email.com,629-801-3531,Seattle,Washington,2024-12-05,Silver
21,Dorothy,Miller,dorothy.miller21@email.com,830-617-5583,San Francisco,California,2015-05-15,Gold
22,Lisa,Wilson,lisa.wilson22@email.com,655-441-6942,Charlotte,North Carolina,2016-02-11,Gold
23,Lisa,Wright,lisa.wright23@email.com,262-607-5520,Jacksonville,Florida,2017-02-16,Bronze
24,Sandra,Garcia,sandra.garcia24@email.com,857-854-1349,San Antonio,Texas,2015-07-27,Silver
25,Jessica,Rodriguez,jessica.rodriguez25@email.com,410-270-4394,Denver,Colorado,2021-07-29,Bronze
26,Joseph,Perez,joseph.perez26@email.com,810-202-5542,Phoenix,Arizona,2024-08-17,Bronze
27,William,Wright,william.wright27@email.com,378-312-1422,Dallas,Texas,2016-06-23,Bronze
28,Daniel,Thomas,daniel.thomas28@email.com,531-216-3854,Denver,Colorado,2017-12-22,Bronze
29,William,Clark,william.clark29@email.com,316-963-2041,Indianapolis,Indiana,2020-05-04,Silver
30,Deborah,White,deborah.white30@email.com,807-311-8405,Indianapolis,Indiana,2020-08-25,Bronze
31,Michelle,Williams,michelle.williams31@email.com,508-669-1510,Indianapolis,Indiana,2015-09-07,Silver
32,Betty,Ramirez,betty.ramirez32@email.com,702-929-8267,Houston,Texas,2015-10-29,Bronze
33,Christopher,Hill,christopher.hill33@email.com,267-329-5505,Phoenix,Arizona,2022-01-01,Gold
34,Donna,Scott,donna.scott34@email.com,590-811-9692,Austin,Texas,2018-04-22,Silver
35,Steven,Hill,steven.hill35@email.com,301-918-2874,Columbus,Ohio,2024-07-25,Gold
36,Dorothy,Scott,dorothy.scott36@email.com,640-662-4743,San Antonio,Texas,2019-08-22,Silver
37,Sandra,Sanchez,sandra.sanchez37@email.com,947-297-6120,Columbus,Ohio,2019-10-15,Silver
38,Kevin,Taylor,kevin.taylor38@email.com,356-903-8770,Jacksonville,Florida,2015-10-02,Bronze
39,Jennifer,Garcia,jennifer.garcia39@email.com,298-962-7105,Columbus,Ohio,2024-02-08,Bronze
40,Emily,Brown,emily.brown40@email.com,775-775-6400,Denver,Colorado,2022-07-07,Bronze
41,Anthony,Thompson,anthony.thompson41@email.com,938-252-5712,Columbus,Ohio,2021-09-25,Bronze
42,Daniel,Miller,daniel.miller42@email.com,719-417-3535,Denver,Colorado,2022-05-13,Silver
43,Joseph,Miller,joseph.miller43@email.com,769-576-2882,Jacksonville,Florida,2023-07-21,Bronze
44,Andrew,Anderson,andrew.anderson44@email.com,774-985-1430,Columbus,Ohio,2021-10-30,Gold
45,Brian,Moore,brian.moore45@email.com,384-479-6062,New York,New York,2025-05-02,Silver
46,Daniel,Smith,daniel.smith46@email.com,346-779-7566,Philadelphia,Pennsylvania,2015-10-13,Bronze
47,Melissa,Johnson,melissa.johnson47@email.com,964-743-4524,Chicago,Illinois,2019-03-21,Silver
48,Sandra,Perez,sandra.perez48@email.com,578-519-6314,Philadelphia,Pennsylvania,2023-09-17,Gold
49,Joshua,Garcia,joshua.garcia49@email.com,359-361-1815,Los Angeles,California,2022-07-23,Bronze
50,Sarah,Lewis,sarah.lewis50@email.com,697-821-8242,Columbus,Ohio,2019-08-24,Bronze
51,Susan,Allen,susan.allen51@email.com,553-640-2816,Houston,Texas,2018-03-06,Gold
52,Carol,Nguyen,carol.nguyen52@email.com,739-883-6053,San Francisco,California,2015-07-06,Bronze
53,Betty,Hill,betty.hill53@email.com,207-409-5938,Los Angeles,California,2025-08-08,Bronze
54,Deborah,Rodriguez,deborah.rodriguez54@email.com,496-535-2965,Dallas,Texas,2015-02-01,Silver
55,Melissa,Ramirez,melissa.ramirez55@email.com,332-589-9725,Philadelphia,Pennsylvania,2022-11-22,Bronze
56,Steven,Scott,steven.scott56@email.com,273-606-1693,Jacksonville,Florida,2019-11-22,Bronze
