employee_id,first_name,last_name,email,hire_date,job_title,salary,store_id,manager_id
1,Jessica,Walker,jessica.walker1@retailco.com,2022-06-22,Sales Associate,33550.89,1,
2,George,Brown,george.brown2@retailco.com,2014-06-14,Cashier,28606.13,93,
3,Jessica,Gonzalez,jessica.gonzalez3@retailco.com,2013-09-09,Sales Associate,34242.92,93,
4,Mark,Scott,mark.scott4@retailco.com,2017-04-20,Manager,56517.65,34,
5,David,Clark,david.clark5@retailco.com,2012-01-18,Sales Associate,45834.41,65,
6,Matthew,Taylor,matthew.taylor6@retailco.com,2022-11-30,Sales Associate,43145.46,98,
7,Elizabeth,Gonzalez,elizabeth.gonzalez7@retailco.com,2019-01-13,Sales Associate,32935.73,23,
8,Patricia,Brown,patricia.brown8@retailco.com,2023-05-23,Cashier,33311.26,65,
9,Jennifer,Lopez,jennifer.lopez9@retailco.com,2024-10-10,Manager,72851.05,14,
10,Jessica,Nguyen,jessica.nguyen10@retailco.com,2019-02-04,Cashier,34573.73,81,
11,Thomas,Wilson,thomas.wilson11@retailco.com,2018-09-23,Cashier,31957.86,39,
12,Sandra,Lee,sandra.lee12@retailco.com,2014-03-30,Stock Clerk,35629.94,82,
13,Robert,Wright,robert.wright13@retailco.com,2017-06-24,Sales Associate,34119.31,65,
14,Lisa,Jackson,lisa.jackson14@retailco.com,2023-11-12,Sales Associate,40691.49,78,
15,James,Scott,james.scott15@retailco.com,2014-05-26,Sales Associate,33657.38,26,
16,Melissa,Scott,melissa.scott16@retailco.com,2017-12-02,Manager,63170.45,20,
17,Steven,Young,steven.young17@retailco.com,2018-03-16,Sales Associate,45537.66,48,
18,John,Smith,john.smith18@retailco.com,2024-05-16,Sales Associate,42193.81,98,
19,Amanda,Ramirez,amanda.ramirez19@retailco.com,2024-03-27,Cashier,36831.06,21,
20,John,White,john.white20@retailco.com,2012-11-22,Cashier,28418.29,70,54
21,Daniel,Wilson,daniel.wilson21@retailco.com,2021-02-11,Cashier,35801.16,100,
22,Michelle,Martinez,michelle.martinez22@retailco.com,2012-07-22,Sales Associate,47619.3,68,
23,Barbara,Perez,barbara.perez23@retailco.com,2014-06-04,Sales Associate,45825.02,1,
24,Matthew,Williams,matthew.williams24@retailco.com,2017-02-07,Sales Associate,45065.39,77,
25,Joseph,Johnson,joseph.johnson25@retailco.com,2018-04-05,Cashier,36643.53,42,
26,Daniel,Allen,daniel.allen26@retailco.com,2017-11-09,Sales Associate,45498.58,63,
27,Barbara,Nguyen,barbara.nguyen27@retailco.com,2021-10-14,Sales Associate,41545.14,3,
28,Joshua,Allen,joshua.allen28@retailco.com,2012-01-14,Manager,66555.86,15,
29,Kimberly,Wright,kimberly.wright29@retailco.com,2013-07-27,Cashier,34706.29,47,
30,Kevin,Perez,kevin.perez30@retailco.com,2018-12-08,Cashier,35197.54,40,
31,Kevin,Clark,kevin.clark31@retailco.com,2020-07-02,Sales Associate,36730.48,31,
32,Carol,Lopez,carol.lopez32@retailco.com,2016-09-17,Cashier,36337.25,8,
33,Margaret,Nguyen,margaret.nguyen33@retailco.com,2022-08-12,Cashier,32421.6,31,
34,Melissa,Hernandez,melissa.hernandez34@retailco.com,2017-04-08,Cashier,34329.41,73,
35,Carol,Martin,carol.martin35@retailco.com,2013-08-19,Sales Associate,34357.66,11,
36,Sandra,Clark,sandra.clark36@retailco.com,2015-04-23,Cashier,31839.78,11,
37,Dorothy,Smith,dorothy.smith37@retailco.com,2023-08-14,Stock Clerk,32188.41,94,
38,Sandra,Brown,sandra.brown38@retailco.com,2023-11-30,Cashier,32564.62,63,
39,Emily,Hill,emily.hill39@retailco.com,2023-04-28,Sales Associate,46262.81,9,
40,Margaret,Scott,margaret.scott40@retailco.com,2017-07-18,Sales Associate,43898.49,98,
41,Kenneth,Moore,kenneth.moore41@retailco.com,2018-05-29,Stock Clerk,34398.73,69,
42,Jessica,Moore,jessica.moore42@retailco.com,2015-06-05,Sales Associate,40642.44,99,
43,Amanda,Wilson,amanda.wilson43@retailco.com,2021-06-03,Manager,67446.04,17,
44,Matthew,Nguyen,matthew.nguyen44@retailco.com,2019-11-21,Cashier,33756.9,17,43
45,Karen,Harris,karen.harris45@retailco.com,2022-12-13,Sales Associate,43754.14,85,
46,Joseph,Moore,joseph.moore46@retailco.com,2015-09-14,Sales Associate,38221.72,61,100
47,Sandra,Rodriguez,sandra.rodriguez47@retailco.com,2013-11-18,Cashier,33918.93,71,
48,Dorothy,Ramirez,dorothy.ramirez48@retailco.com,2022-03-13,Manager,81005.54,22,
49,Christopher,Perez,christopher.perez49@retailco.com,2013-11-01,Stock Clerk,34215.65,34,4
50,Donald,Johnson,donald.johnson50@retailco.com,2012-11-25,Stock Clerk,36501.44,68,
51,Timothy,Johnson,timothy.johnson51@retailco.com,2014-07-26,Sales Associate,32326.08,78,
52,Andrew,Wilson,andrew.wilson52@retailco.com,2014-07-27,Sales Associate,44270.37,55,
53,Deborah,Hernandez,deborah.hernandez53@retailco.com,2020-06-01,Sales Associate,32410.85,28,
54,Betty,Gonzalez,betty.gonzalez54@retailco.com,2018-10-06,Manager,72762.94,70,
